"row ID","SMILES","Mtb Activity","IC90 Modifier","IC90","Vero Activity","IC50 Modifier","IC50","Aromatic Atoms Count","Bond Polarizabilities","VABC Volume Descriptor","Hydrogen Bond Acceptors","Hydrogen Bond Donors","Rotatable Bonds Count","Topological Polar Surface Area","Molecular Weight","XLogP","Formal Charge","SP3 Character"
"14727956","CC1=CC(=C(C=C1)C2=NNC(=C2)C3=CC=CC=C3C)O","Active",">",100.0,"Active",">",40.0,17,18.151311999999997,242.5108987486283,1,2,5,48.91,264.12626313200025,5.071000000000001,0,0.05555555555555555
"14727971","CCOC1=CC=C(C=C1)N=C(C2=C(C3=CC=CC=C3N(C2=O)C)O)C4=NNN=N4","Inactive",,,"Inactive",,,21,26.511725999999996,335.7005120568186,4,2,8,118.28,390.1440384360005,4.528,0,0.06382978723404255
"14727995","CCN1C=C(C(=N1)C(=O)N2C(CC(=N2)C3=CC4=CC=CC=C4C=C3)C5=CC=CC=C5O)[N+](=O)[O-]","Active",">",100.0,"Active",,33.11,21,29.131346999999995,391.4445255761466,4,1,8,113.86000000000001,455.15935415200056,5.494999999999999,0,0.07272727272727272
"14728187","CCC1=CC(=CS1)C(=O)NC2=C(C=C(C=C2)C)Br","Inactive",,,"Inactive",,,11,20.492897999999997,245.94820380042822,2,1,6,57.34,322.9979471680004,3.687,0,0.09375
"14728347","COC1=CC=C(C=C1)N2COC3C2C4=CC=CC5=C4C3=CC=C5","Inactive",,,"Active",">",40.0,16,24.396518999999994,267.4794017170234,2,0,3,21.700000000000003,303.1259287840005,4.872999999999999,0,0.1
"14728577","COC1=CC=C(C=C1)COC2=CC(=NC3=C2C=C(C=C3)NC(=O)C4=CC=C(C=C4)OC)C5=CC(=CC=C5)OC","Active",">",100.0,"Active",,15.809,28,41.21179599999999,472.14344663167503,3,1,12,78.91000000000001,520.1998219960007,6.494999999999999,0,0.05970149253731343
"14728725","CC(C)[C@@H](C(=O)OC)NC(=O)O[C@H]1[C@@H](OC2=C(C1=O)C=CC(=C2)OC)C3=CC(=CC=C3)C(F)(F)F","Active",">",100.0,"Inactive",,,12,41.04396799999999,431.79360897501573,6,1,16,100.16000000000001,495.1504867680007,4.587000000000001,0,0.15254237288135594
"14728967","C1=CC=C(C(=C1)C2=CC(=O)C3=C(O2)C=CC(=C3O)[N+](=O)[O-])Cl","Active",,28.2,"Active",,26.186,16,13.295655999999997,255.55768516060607,0,1,5,93.58,317.0091000360002,5.852000000000001,0,0.0
"14728980","CC1=C(C(=O)C=CN1CC2=CC=C(C=C2)Cl)OCC3=CC=CC=C3","Active",,95.88,"Inactive",,,18,24.951725999999994,315.6669281882569,0,0,7,31.23,339.1026064960005,6.238999999999999,0,0.07142857142857142
"14729201","C1=CC=C2C(=C1)N=CN2C3=CC=C(C=C3)C4=NC(=NC=C4)C5=CC=CC=N5","Active",,23.69,"Active",">",40.0,27,23.658104999999995,293.4956648963018,4,0,3,56.49,349.13274548000044,3.789000000000001,0,0.0
"14729216","CC1=CC=C(C=C1)CS(=O)/C(=C(\C(=O)NC2=CN=C(C=C2)OC)/Cl)/Cl","Active",,0.36,"Active",,2.129,12,27.563311999999993,332.27897044901806,4,1,10,87.5,398.02586873200045,2.4650000000000003,0,0.07317073170731707
"14729241","CCOC(=O)C1=C(N=C(N=N1)C2=CC=CC=C2)SC3=CC=CC=C3Cl","Active",">",100.0,"Active",">",40.0,18,23.518897999999997,308.0410447096567,5,0,8,90.27,371.0495253680004,4.282000000000001,0,0.05128205128205128
"14729302","CC1=CC=C(C=C1)NC(=O)COC2=CC=CC=C2CNC(C)(C)CC(C)(C)C","Active",,36.18,"Active",,23.364,12,41.36303799999999,398.26593523185824,3,2,15,50.36,382.26202832800095,5.965000000000002,0,0.1774193548387097
"14729342","C1CN(CCN1C2=NC3=C(C=C(C=C3)Br)C(=N2)C4=CC=CC=C4Cl)C(=O)C5CC=CCC5C(=O)O","Active",,68.84,"Active",,38.346,16,36.462968,439.6211274428857,7,1,7,86.63000000000001,554.0720304080007,5.260000000000001,0,0.13559322033898305
